Song, album, singer,group, writer, tune, src, genre, subgenre
স্বপ্নের ঘুড়ি ওড়ে, স্বপ্ন ঘুড়ি, আব্দুশ শাকুর তুহিন, NA, NA, NA, https://www.dropbox.com/s/68scgqwdt6qoxp5/Swapner%20Ghuri%20Ore.mp3?dl=1, NA, NA
তালা আল বাদরু আলায়না, স্বপ্ন ঘুড়ি, আব্দুশ শাকুর তুহিন, NA, NA, NA, https://www.dropbox.com/s/8mykfew9wlv5a4v/talaal%20badru%20alaina.mp3?dl=1, NA, NA
তার রংয়ের চেয়ে, স্বপ্ন ঘুড়ি, আব্দুশ শাকুর তুহিন, NA, NA, NA, https://www.dropbox.com/s/7s0rgbp8elev1r4/Tar%20Rong%20Ar%20Chaya.mp3?dl=1, NA, NA
তুমি চলে গেছো দূরে, স্বপ্ন ঘুড়ি, আব্দুশ শাকুর তুহিন, NA, NA, NA, https://www.dropbox.com/s/12euch5l8m5alcz/Tumi%20Chole.mp3?dl=1, NA, NA
এই ধরণী ও নীল, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/axx705ho77qlq8r/1ei%20dhorini%20oi%20nil.mp3?dl=1, NA, NA
ধরাতে আগমনে পিয়ারা, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/uzmc8gqo46twut2/2dhorate%20agomone.mp3?dl=1, NA, NA
এই দেশ আমার, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/apmhh19tyrxat0t/3%20ei%20desh%20amar.mp3?dl=1, NA, NA
আমার মা আমার, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/rj2amdiki4fstpn/4o%20amar%20ma.mp3?dl=1, NA, NA
আমরা সবাই এক, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/97gjq888nl1w5wh/5amra%20sobai%20-ek.mp3?dl=1, NA, NA
কিছু কিছু কথা, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/kwzp5ecnvae6eje/6kichu%20kichu.mp3?dl=1, NA, NA
ওরে বাংলার মুসলিম, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/c792uvbfd8gibxs/7ore%20banglar%20muslim.mp3?dl=1, NA, NA
সাগর নদী আর পাহাড়, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/aqfe4riat6q7zl0/8sagor%20nodi%20chute.mp3?dl=1, NA, NA
জানি না আর ফুটবে কি না, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/ve0v07mkaf4ez3l/9janina%20ar.mp3?dl=1, NA, NA
তুমি মালিক, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/xoftil65s3l7irq/10tumi%20malik%20tumi.mp3?dl=1, NA, NA
সারাটা পৃথিবী কারবালা, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/bahk2agixmz8gkv/11sarata%20prithibi%20aj.mp3?dl=1, NA, NA
নদীরে তুই, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/625f86wkybi8nhw/12nodire%20tui.mp3?dl=1, NA, NA
ইয়া সায়্যিদি, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/i0dr05tl4xrz2ja/13ya%20sayeedi.mp3?dl=1, NA, NA
এই ওলী আল্লাহর, স্বপ্নের রংধনু,NA, সাইমুম শিল্পী গোষ্ঠী, NA, NA, https://www.dropbox.com/s/m1i6esb9747ktq6/14ei%20wali-allahr.mp3?dl=0, NA, NA
কাঙ্খিত ঠিকানা, স্বপ্নের মুকুরে,NA, দিশারী শিল্পীগোষ্ঠী, NA, NA, https://www.dropbox.com/scl/fi/u2ngwm0rvri3cjn4bjbv8/0-kangkhito-thikana.mp3?rlkey=1z7ylki1497bkpdhlpp1mwymp&st=86552qoq&dl=1, NA, NA
শাহজালালের শাহপরানের, স্বপ্নের মুকুরে,NA, দিশারী শিল্পীগোষ্ঠী, NA, NA, https://www.dropbox.com/scl/fi/m6iuaojov4w843sdpoy7w/1-shah-jalaler.mp3?rlkey=3ragmv5m1lyove8reuzt1jmny&st=jaxzvrnc&dl=1, NA, NA
আমার গানের বাণী, স্বপ্নের মুকুরে,NA, দিশারী শিল্পীগোষ্ঠী, NA, NA, https://www.dropbox.com/scl/fi/y0aq0dn4p1x56b2ato5fy/2-amar-ganer-bani.mp3?rlkey=45xwlndqrjrh5yqkfkc82bx00&st=j9ppb9b6&dl=1, NA, NA
এ ময়দানে কে, স্বপ্নের মুকুরে,NA, দিশারী শিল্পীগোষ্ঠী, NA, NA, https://www.dropbox.com/scl/fi/se4exwzs2uqw9pj41c8cd/3-e-moydane-ke.mp3?rlkey=g2fuuob9b0psgenulm5v7yd2j&st=mnj1p0z9&dl=1, NA, NA
